alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1721756392.6027,elite,1188.1831117476,1710634449.6393,"AS7018 AT&T Services, Inc.",ATT-INTERNET4,"New York","North America",NA,"United States",US,,false,"AT&T Services, Inc.",40.7128,-74.006,false,"AT&T Services, Inc.",true,"New York",success,America/New_York,10123,1721174731,1721756670.5063,80,http,http://12.186.205.123:80,false,365.23365974426,63104,125735,33.416825973448,12.186.205.123
true,1721749687.0512,elite,1111.5432968384,1710565614.1618,"AS24282 KAGOYA JAPAN Inc.",APNIC-ASBLOCK-24005,Kyoto,Asia,AS,Japan,JP,,true,"KAGOYA JAPAN Inc.",35.0203,135.7602,false,,true,Kyoto,success,Asia/Tokyo,602-8051,1721623696,1721756669.8736,80,http,http://133.18.234.13:80,false,759.00864601135,187031,8270,95.765510673268,133.18.234.13
true,1721756669.404,transparent,2487.4863234131,1721427913.5234,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,Chisinau,Europe,EU,Moldova,MD,,false,"Stark Industries Solutions LTD",47.0042,28.8574,false,"Stark Industries Solutions Ltd",true,"Chișinău Municipality",success,Europe/Chisinau,MD-2000,1721427914,1721756669.404,3128,http,http://45.142.212.228:3128,false,916.29672050476,2010,4969,28.800687777619,45.142.212.228
true,1721737832.3322,elite,34.668986658448,1721737832.3322,"AS398465 Rackdog, LLC",RACKDOG-LLC,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Rackdog, LLC",50.1187,8.6842,false,"Rackdog, LLC, NORTHERN CABLE AND FIBER",false,Hesse,success,Europe/Berlin,60313,1721737832,1721756669.3789,3128,http,http://149.51.224.105:3128,false,14.321088790894,412,0,100,149.51.224.105
true,1721756669.087,elite,2763.6215075112,1717289411.6535,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721606883,1721756669.087,26363,http,http://67.43.228.253:26363,false,747.2128868103,343,49182,0.69257950530035,67.43.228.253
true,1721756655.9067,elite,1265.9425735474,1721724597.9965,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721755908,1721756668.8984,2769,http,http://67.43.228.254:2769,false,798.80332946777,11,108,9.2436974789916,67.43.228.254
true,1721752778.0477,anonymous,805.53858090366,1702815746.6426,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,Digitalocean,true,"South West",success,Asia/Singapore,627753,1721648841,1721756668.7277,23128,http,http://178.128.113.118:23128,false,310.74070930481,273980,36938,88.119697154877,178.128.113.118
true,1721729932.4181,elite,256.34061667268,1714931421.1577,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,101776,1721648839,1721756668.5423,4444,http,http://84.252.73.132:4444,false,237.32686042786,135178,1452,98.937275854498,84.252.73.132
true,1721756483.8787,elite,4453.9126291492,1715631772.7408,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,"Los Angeles","North America",NA,"United States",US,,false,"Stark Industries Solutions LTD",33.8697,-118.3693,false,"Stark Industries Solutions LTD",true,California,success,America/Los_Angeles,90278,1721731164,1721756668.396,5678,http,http://85.209.153.174:5678,false,659.63292121887,48865,60684,44.605610274854,85.209.153.174
true,1721756668.0868,transparent,8013.8718527068,1721636337.5102,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,Digitalocean,true,"South West",success,Asia/Singapore,627753,1721639442,1721756668.0868,3128,http,http://188.166.222.236:3128,false,400.87246894836,159,2251,6.597510373444,188.166.222.236
true,1721756668.0077,elite,765.74023011582,1712599524.1242,"AS142424 Unique Cable Network, Inc.",UCNI-AS-AP,Dumingag,Asia,AS,Philippines,PH,,false,"Unique Cable Network, Inc.",8.1711,123.3532,false,"Unique Cable Network, Inc",false,"Zamboanga Peninsula",success,Asia/Manila,7028,1721595953,1721756668.0077,80,http,http://103.168.38.246:80,false,519.21796798706,91051,64530,58.523212988733,103.168.38.246
true,1721756667.6399,elite,1194.263505081,1710563638.1722,"AS7018 AT&T Services, Inc.",ATT-INTERNET4,"New York","North America",NA,"United States",US,,false,"AT&T Services, Inc.",40.7128,-74.006,false,"AT&T Services, Inc.",true,"New York",success,America/New_York,10123,1721621376,1721756667.6399,80,http,http://12.186.205.122:80,false,336.79914474487,63803,131454,32.676421331886,12.186.205.122
true,1721756667.4728,elite,4448.5542140499,1715630115.2173,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,"Los Angeles","North America",NA,"United States",US,,false,"Stark Industries Solutions LTD",33.8697,-118.3693,false,"Stark Industries Solutions LTD",true,California,success,America/Los_Angeles,90278,1721730988,1721756667.4728,3128,http,http://85.209.153.174:3128,false,2595.4852104187,47281,62324,43.137630582546,85.209.153.174
true,1721754709.2824,elite,1744.6420944979,1710701099.387,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Changsha,Asia,AS,China,CN,,false,"CHINA UNICOM China169 Backbone",28.2014,112.9611,false,"Chenzhou beihugongyeyuan",true,Hunan,success,Asia/Shanghai,,1721154175,1721756667.4645,9002,http,http://58.20.248.139:9002,false,860.58044433594,167601,22168,88.318429248191,58.20.248.139
true,1721756666.8933,elite,2828.9644468398,1716700171.6694,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1721596174,1721756666.8933,26147,http,http://72.10.164.178:26147,false,936.35940551758,420,49756,0.83705357142857,72.10.164.178
true,1721756644.2613,elite,5119.4325085049,1710541373.2421,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"powered by ANX",49.4423,11.0191,false,"netcup GmbH",true,Bavaria,success,Europe/Berlin,90431,1721174565,1721756666.8855,80,http,http://202.61.204.51:80,false,597.42712974548,64966,123733,34.428375349101,202.61.204.51
