post_date,job_title,job_description,company,location,seniority,employement_type,job_functions,industry
2024-07-01,Receipt (H/F/X),"Description de l'entreprisePourquoi travailler chez Accor ?Nous sommes bien plus qu’un leader mondial. Nous vous accueillons comme vous êtes et vous pouvez trouver le métier et la marque qui correspond à votre personnalité.Nous vous accompagnons dans votre évolution et votre apprentissage au quotidien, nous nous assurons que votre travail apporte du sens à votre vie. Ainsi, durant votre expérience avec nous, vous pouvez explorer les possibilités illimitée du Groupe Accor.En rejoignant Accor, vous écrivez chaque chapitre de votre histoire et ensemble nous pouvons imaginer l’Hôtellerie de demain. Découvrez la vie qui vous attend chez Accor, https://careers.accor.com/.Faites ce que vous aimez, prenez soin du monde qui vous entoure, oser challenger le status quo ! #BELIMITLESS, Description du posteRéceptionniste (H/F)La première impression est toujours la bonne! En tant que Réceptionniste, vous prenez soin de nos clients depuis leur arrivée jusqu'à leur départ, en vous assurant qu'ils vivent une expérience mémorable.Ce que l'établissement vous offre :Carte collaborateurs offrant des taux réduits chez AccorPlan de formations délivrées dans nos AcadémiesL’opportunité de développer vos talents et de vous épanouir au sein de votre établissement et à travers le mondeLa capacité à faire la différence à travers nos activités Ethiques & Responsabilité Sociale des Entreprises, comme Planet 21Votre rôle :Accueillir les clients, assurer le check-in et check-out, établir la facturation et l'encaissement en garantissant un service exceptionnelProposer une expérience personnalisée pour le clientPromouvoir les équipements de l'établissement, améliorer le séjour des clients en proposant des services, QualificationsVotre expérience et vos compétences incluent :Qualité de service essentielle : une expérience similaire est un plusMaîtrise du logiciel Opera ou équivalentMaîtrise de l'AnglaisInformations supplémentairesla pratique d'autres langues est un plus.Votre équipe et votre environnement de travail :En quelques mots, présentez l’équipe, l’établissement ou l’environnement de travail qui reflète la culture de l'équipeNote : Vous pouvez inclure ici les spécificités locales ou les critères légaux, tels que le permis de travail.Notre Engagement Diversité & Inclusion :Nous sommes une entreprise inclusive et notre ambition est d’attirer, de recruter, et de promouvoir la diversité des talents.",Mövenpick Hotels & Resorts,"Tunis, Tunis, Tunisia",Not Applicable,Full-time,Administrative,Hospitality
2024-07-01,"Financial Assistant(s) (Online, Full Time)","Entreprise : AzurreoLieu : À Distance (télétravail)À propos d'Azurreo :Azurreo est une entreprise mondiale de premier plan spécialisée dans les solutions innovantes pour l'industrie des télécommunications. Nous nous engageons à fournir des services de premier ordre à nos clients, en veillant à ce que leurs besoins soient satisfaits avec le plus haut niveau d'expertise et de soin. Axée sur l'excellence et l'innovation, Azurreo s'est forgée une réputation de fiabilité et d'efficacité dans la fourniture de solutions à ses clients du monde entier.Description du Poste :Azurreo recherche un(e) Assistant(e) Financier(ère) dévoué(e) et minutieux(se) pour rejoindre notre équipe. Il s'agit d'un poste à temps plein, en télétravail, idéal pour un professionnel prêt à contribuer à notre département financier. Ce poste nécessite une disponibilité de 8 heures par jour, 5 jours par semaine, du lundi au vendredi.Vos missionsAssister dans les opérations financières quotidiennes et les tâches comptables.Préparer, examiner et traiter les transactions financières.Gérer et maintenir des dossiers financiers précis en utilisant divers systèmes ERP.Préparer des rapports, des budgets et des états financiers.Réaliser des analyses financières et fournir des informations pour soutenir la prise de décision.Gérer les communications par email de manière professionnelle et efficace.Assurer la conformité avec les politiques de l'entreprise et les réglementations financières pertinentes.Aider aux transferts internationaux et gérer les relations avec les banques françaises.Collaborer avec des membres de l'équipe situés dans différents fuseaux horaires.Vos compétencesQualifications :Éducation : Bac + 3 minimum en Gestion, Finance, Mathématiques ou dans un domaine connexe.Langues : Excellente maîtrise du français (oral et écrit), anglais intermédiaire (capable de maintenir une conversation fluide).Expérience : Minimum 1 an d'expérience dans un rôle similaire.Compétences :Maîtrise de la suite MS Office (notamment Excel).Expérience avec divers systèmes ERP.Compétences solides en communication par email.Minutieux avec de fortes compétences organisationnelles.Préféré :Expérience en comptabilité ou en finance.Connaissance des processus de transfert international.Compréhension du système bancaire français.Qualités Personnelles :Honnête, rigoureux et attentif aux détails.Désireux d'apprendre et à l'aise avec les chiffres.Pas peur de demander de l'aide si nécessaire.Prêt à travailler dans un environnement international à distance.AvantagesPourquoi Rejoindre Azurreo :Travailler dans une équipe internationale solidaire et dynamique.Opportunités de croissance professionnelle et de développement.Type de contrat CDI.Congés payés et Jours fériés.Poste à distance intégralement.Notez bien : ce ci n'est pas un poste en Freelance.Si vous êtes un professionnel de la finance motivé et prêt à relever de nouveaux défis dans une entreprise mondiale, nous serions ravis de vous entendre. Postulez dès maintenant pour rejoindre Azurreo et contribuer à notre mission d'excellence.",Azurreo,Tunisia,Entry level,Full-time,Finance,Telecommunications
2024-07-01,Guest Service Manager,"Description de l'entreprisePourquoi travailler chez Accor ?Nous sommes bien plus qu’un leader mondial. Nous vous accueillons comme vous êtes et vous pouvez trouver le métier et la marque qui correspond à votre personnalité.Nous vous accompagnons dans votre évolution et votre apprentissage au quotidien, nous nous assurons que votre travail apporte du sens à votre vie. Ainsi, durant votre expérience avec nous, vous pouvez explorer les possibilités illimitée du Groupe Accor.En rejoignant Accor, vous écrivez chaque chapitre de votre histoire et ensemble nous pouvons imaginer l’Hôtellerie de demain. Découvrez la vie qui vous attend chez Accor, https://careers.accor.com/.Faites ce que vous aimez, prenez soin du monde qui vous entoure, oser challenger le status quo ! #BELIMITLESS, Description du posteSuperviser et diriger tous les aspects des relations avec les clients pour atteindre la meilleure satisfaction possible. Faire preuve d'esprit d'entreprise et penser au-delà des limites est attendu et non demandé. Anticiper les demandes implicites des clients, au-delà de leurs besoins exprimés. Fournir un service sincère, chaleureux et enthousiaste, en veillant à la satisfaction des clients. Prendre le temps de connaître les clients et s'engager pour l'excellence du service. S’assure de la réalisation des objectifs au niveau de son processus. , Informations supplémentairesWe are Heartists®décrit à la fois notre culture et qui nous sommes. Tout ce que nous faisons vient du cœur, et nous sommes des experts dans ce que nous faisons. Généreux, attentifs et libres, nous veillons à ce que chacun puisse venir tel qu’il est et se sentir à sa place. En tant que grande équipe, nous savons que ce n’est qu’ensemble que nous pouvons faire des choses incroyables !",Mövenpick Hotels & Resorts,"Tunis, Tunis, Tunisia",Not Applicable,Full-time,Other,Hospitality
2024-07-01,Call for Independent Administrators' candidacy to the Smart Capital Management Board,"Description de l'entrepriseStartup Tunisia est une initiative nationale qui ambitionne de faire de la Tunisie un pays de Startups à la croisée de la méditerranée, de la région MENA et de l’Afrique.L’initiative a été confiée à Smart Capital, une société de gestion, agréée par le Conseil du Marché financier en 2019 pour gérer le projet structuré autour des trois piliers suivants :Startup Act : un cadre juridique unique et un ensemble d’incitations offert aux Startups innovantes et scalablesStartup Invest : Un nouveau cadre d’investissement dédié aux Startups bâties autour d’un fonds de fonds d’une taille cible de 100 Million d’Euros financé par la Banque Mondiale et la KfW œuvrant à booster l’écosystème des VC en Tunisie,Startup Ecosystem : Un cadre d’appui pour un écosystème de Startups performant et inclusif axé sur les thématiques de financement, d’animation et de connexions, sponsorisés par plusieurs bailleurs dont la Banque Mondiale, La GIZ, et l’Union Européenne. Smart Capital gère aussi un Fonds d’investissement direct dans les PME innovantes d’une taille cible de 125 Millions de Dinars.Cette initiative ambitieuse est le fruit d’une dynamique collaborative et participative impliquant toutes les parties prenantes de l’écosystème des Startups. Pour réaliser sa mission, Smart Capital mobilise une équipe talentueuse et engagée et s’aligne sur les meilleurs standards internationaux de fonctionnement. Smart Capital voudrait renforcer la composition de son conseil par des administrateurs indépendants venant du secteur privé et plus particulièrement du monde de l’investissement (Venture Capital et Private Equity) et des Startups., Description du posteLa mission des administrateurs indépendants est comme celle du reste des administrateurs dans le conseil d'administration. Conformément à l’article 23 des statuts de Smart Capital le conseil est investi des pouvoirs les plus étendus, dans le cadre de l'objet social de la Société, (sous réserve des seuls actes ou opérations qui sont, du fait de la loi, de la compétence exclusive de l'assemblée générale), pour représenter, gérer, administrer, engager et développer les activités de la Société.L’apport de l’administrateur indépendant est axé particulièrement surce qui suit :Sa compréhension approfondie de l’écosystème des Startups et du VC en Tunisie et ailleurs pour aider le conseil à mieux atteindre ses objectifs et ses priorités à court et moyen terme et à mettre en place les programmes appropriés pour y parvenirSa contribution et celle de son réseau national et international à aider Smart Capital à lever les capitaux nécessaires pour son fonds de fonds ANAVA et son fonds direct, INNOVATECH et les fonds/subventions nécessaires pour alimenter ses programmes d’appui à l’écosystème type Flywheel, HALO, Invest’i et autres. Son appui aux missions de soutien, de connexion et de sensibilisation nationale et auprés de la diaspora de la nouvelle économie basée sur l’innovation et la technologie. Ses efforts pour assurer la connexion et la collaboration avec les acteurs locaux et internationaux du monde del’investissement. Tout appui à la promotion de l’écosystème local des Startups, des VCs et de la PME innovante en mettant en avant ses acteurs clés, ses startups et le cadre Startup Tunisia ou à travers l’appui à l’organisation d’événements au rayonnement régional ou international, QualificationsDe nationalité tunisienne. Expérience dans le secteur du VC ou capital risque, des investissements, du droit des entreprises ou de la comptabilité. Acteur de l’écosystème des startups ou entrepreneurial en Tunisie ou à l’international (en tant qu'investisseur ou en tant qu’entrepreneur). Expérience dans la structuration de projets/programmes pour l’innovation serait un atoutPassionné(e) par le monde des startups et de l’innovationRigoureux, ayant le sens du détail. Sens éthique élevéAbsence de conflit d’intérêt avec l’activité de Smart CapitalÊtre issu du secteur privéÊtre résidant en TunisieInformations supplémentairesun mandat de 3 année renouvelable.Périodicité des conseils: minimum 4 par an.La date limite de candidature: 11 Juillet 2024.",Smart Capital,"Ḥalq al-Wādī, Tunis, Tunisia",Executive,Full-time,Other,Financial Services
2023-07-01,Job notice: Copy (M/F) - Beja,"Anúncio de emprego: Copeiro (M/F) - Beja:SERLIMADescrição Do Emprego:Copeiro (M/F) - Beja»Serlima»24-12-2024»Ref: 7364963»Beja»Hotelaria / TurismoReferência:Detalhe da Oferta:0000000891Referência Da Oferta:A Serlima Integrated Services é uma empresa especializada na prestação de serviços a todas as áreas de negócio do Grupo Serlima, enquadrada no conceito de serviços partilhados.Descrição:O/a colaborador/a ficará responsável pela limpeza de utensílios, equipamentos e instalações de acordo com os standards de exigência e condições definidas pelo cliente.Referência Da Oferta: Experiência anterior comprovada na função (fator eliminatório); Gosto pelo trabalho em equipa; Dinamismo e proatividade; Sentido de responsabilidade; Disponibilidade imediata e total.Oferta: Bom ambiente de trabalho; Remuneração compatível com a função;Responda a Esta Oferta Em:Mais Ofertas de Emprego Semelhantes:",Grupo Serlima,"Béja, Béja, Tunisia",Entry level,Full-time,Management and Manufacturing,Facilities Services
2024-07-01,Client Paper Manager (Beja),"Descrição da EmpresaA UNU DIPO é fruto da expansão de um projeto consolidado no distrito de Évora. Queremos posicionar-nos no mercado imobiliário como uma marca jovem, dinâmica e, acima de tudo, inovadora e elevar o setor imobiliário ao nível da excelência. Para isso procuramos jovens talentos com vontade em criar uma carreira para a vida, tendo como base o desenvolvimento e crescimento pessoal, e espírito empresarial.Descrição da FunçãoQueres ser autónoma(o) nos teus horários? A nossa empresa ajuda-te a ter mais tempo para ti. As nossas vagas são limitadas, a pessoas responsáveis que gostam de isenção de horários! Se tens: - Disponibilidade - Espírito de cooperação - Iniciativa - Desejo de ser autónomo - Proatividade - Determinação Esta vaga pode ser tua! A UNU Dipo é uma empresa de mediação imobiliária, que está em crescimento desde o seu primeiro dia de atividade no mercado de Évora. Em 2023 chegamos ao 3º lugar no ranking das transações. O nosso crescimento tem ajudado a nossa equipa a crescer e a atingir os seus objetivos. Os nossos profissionais estão disponíveis para te ajudar e querem pessoas determinadas junto deles. A nossa missão é honrar a mediação imobiliária. Nós oferecemos-te um acompanhamento exclusivo e diferenciador: - Formação interna gratuita (presencial e online) - Plano de desenvolvimento e crescimento pessoal - Acompanhamento contínuo e personalizado - Acesso a ferramentas digitais - Marketing personalizado - Branding pessoal - Material de apoio à atividade - Comissões de acordo com os objetivos P.S.: Envia o teu currículo se queres ser autónoma(o)!Localização Beja, Portugal",UNU DIPO,"Béja, Béja, Tunisia",Full-time,Management and Manufacturing,Real Estate,None
2024-07-01,Beja Administrator,"Descrição da FunçãoM/F Tecnovia - Sociedade de Empreitadas, SA, empresa Portuguesa de referência no setor da Engenharia e Construção, com uma forte presença no mercado Nacional e Internacional, procura integrar nos projetos da empresa: Apontador / Administrativo – Beja Perfil Pretendido: - 12º ano de escolaridade ou formação técnica (preferencial); - Experiência em funções administrativas, nomeadamente: registo de guias de transporte, elaboração de faturas, controlo da expedição de cargas; - Conhecimentos de informática (Excel e Word); - Experiência no software Primavera (preferencial); - Boa capacidade de gestão de stress e prazos estabelecidos; - Facilidade de comunicação e relacionamento interpessoal; - Disponibilidade para deslocações a nível nacional; - Dinamismo e proatividade; - Flexibilidade de horários; - Carta de condução. Local de trabalho: Beja e/ou OuriqueLocalização Beja, Portugal",Tecnovia Sociedade de Empreitadas S.A,"Béja, Béja, Tunisia",Entry level,Full-time,Administrative,Construction
2023-11-01,Job offer: Clinical Analysis Technique - Beja,"Oferta de emprego: Técnico de Análises Clínicas - Beja:MANPOWER PORTUGALDescrição Do EmpregoTécnico de Análises Clínicas - Beja»Manpower Portugal»Ref: 7006246»20-12-2024»Beja»Saúde / Medicina / EnfermagemDetalhe Da OfertaA ManpowerGroup, empresa lider em Recursos Humanos Referência da oferta: Técnico de Análises Clínicas, para integrar prestigiado cliente no distrito de Beja,Referência Da Oferta Licenciatura na área de ciências Biomédicas Laboratoriais ou similar; Com ou sem experiência na função; Dinâmico e responsável; Saber gerir o tempo; Disponibilidade imediata;Oferta Contrato direto com o cliente; Bom Ambiente de trabalho; Remuneração base + Subsídio de alimentação + Seguro de saúdeHorário De Trabalho Part TimeReferência da oferta:: Concelho de BejaSe reúne os requisitos para a função, envie-nos o seu Referência da oferta: atualizado para *** Candidatura Online ***",ManpowerGroup Portugal,"Béja, Béja, Tunisia",Entry level,Part-time,Engineering and Information Technology,Human Resources Services
2024-06-01,Director of Logistics Group H/F,"Vidal Associates Consulting and Search, acteur de référence dans le recrutement par approche directe de cadres spécialistes et de dirigeants en France et à l'international, recrute pour son client un(e) Directeur Logistique Groupe H/F, poste basé à Nabeul (Tunisie).Notre client est un groupe Tunisien, leader dans le marché de fabrication d'emballages plastiques à usage industriel opérant dans des domaines d'activité diversifiés tel que : la Chimie et Agro-alimentaire pour plus de 50 ans. Il fait partie d'un ensemble de groupe tunisien qui opère sur le marché de l'Afrique du Nord et l'Afrique Subsaharienne.Notre client continue son développement et recrute un(e) :Directeur Logistique Groupe H/FPoste basé à Nabeul (Tunisie)Rattaché au Directeur Général, vos principales missions seront de : Planifier et gérer de manière stratégique la logistique, l'entreposage, le transport et le service à la clientèle ; Assurer le suivi de la qualité, de la quantité, des niveaux de stock, des délais de livraison, des coûts de transport et de l'efficacité ; Coordonner les actions logistiques entre les sites, en relation avec les achats, les approvisionnements et les méthodes ; Optimiser les stocks de matières premières, composants et produits semi-finis, dans un cadre « juste à temps » des fournisseurs, sans générer de manquants ; Superviser et optimiser l'organisation des flux internes de l'usine, dans un contexte de flux tendus vers les clients ; Gestion des différents magasins (produits finis, Matière première, etc...).De formation Bac+5 en Logistique / Supply Chain.Vous possédez une expérience confirmée dans un poste similaire, dans le secteur FMCG, Grande Distribution.Vous possédez un bon niveau en Français.Le leadership, la rigueur, la réactivité, le sens de l'organisation et de responsabilité, la capacité d'encadrer des équipes et de résolutions des problèmes.Afin d'étudier votre candidature avec attention, nous vous remercions de l'adresser à VIDAL ASSOCIATES Consulting & Search, en déposant votre dossier sous la référence « Vt15214F » sur notre site www.talentup.com ou par email à vt15214f-145@talentup.net",Talentup,"Nabeul, Tunisia",Director,Full-time,Management and Manufacturing,Human Resources Services
2024-07-01,Customer Service Representative (English-Remote),"Alpha CX is a leading Business Process Outsourcing (BPO) company specializing in providing exceptional customer support services to businesses across various industries, including ecommerce, fintech, and medical. With a team of highly trained and experienced professionals, Alpha CX is committed to delivering consistently high-quality customer interactions that drive customer satisfaction and loyalty.If you are interested in this position, please fill in the link and we will contact you :https://forms.gle/SSp1T5Hw4x4uh375AIf the above link cannot be opened, please send your CV and a Viedo to our email： cvenglish@alpha-cx.com(please choose one of the two application methods, link or email, we will give priority to link applications):Email Sending Format: Name Apply for a positionCVViedo（Must have）The RoleYou Will Be Responsible For : Handling inbound calls and emails in a professional manner.Resolving customer inquiries and requests and ensuring strong customer satisfaction.Working with various internal teams to ensure prompt and accurate order processing and delivery.Escalating customer feedback as required.If you are interested in this position, please fill in the link and we will contact you :https://forms.gle/SSp1T5Hw4x4uh375AIf the above link cannot be opened, please send your CV and a Viedo to our email： cvenglish@alpha-cx.com(please choose one of the two application methods, link or email, we will give priority to link applications):Email Sending Format: Name Apply for a positionCVViedo（Must have）Ideal ProfileYou have at least 1 year experience within a Customer Service or Customer Success role, ideally within the Ecommerce / Marketplaces, IT Services and Retail industry.Technical background is a mustengineering degree or technical background that can understand the product and its complexitiesYou possess excellent interpersonal as well as written and verbal communication skills.You are a strong team player who can manage multiple stakeholdersYou are adaptable and thrive in changing environmentsYou pay strong attention to detail and deliver work that is of a high standardIf you are interested in this position, please fill in the link and we will contact you :https://forms.gle/SSp1T5Hw4x4uh375AIf the above link cannot be opened, please send your CV and a Viedo to our email： cvenglish@alpha-cx.com(please choose one of the two application methods, link or email, we will give priority to link applications):Email Sending Format: Name Apply for a positionCVViedo（Must have）What's on Offer?Work alongside & learn from best in class talentA role that offers a breadth of learning opportunitiesOpportunity to make a positive impact",Alpha-CX Alpha Intelligent Technology Co.LTD,Tunisia,Entry level,Full-time,Other,"Appliances, Electrical, and Electronics Manufacturing, Information Services, and Technology, Information and Internet"
