post_date,job_title,job_description,company,location,seniority,employement_type,job_functions,industry
6 months ago,VENDEDORES/AS (m/f) SPORT ZONE BEJA,"Na Sport Zone estamos empenhados em criar e manter um ambiente fundamentado na cooperação e no respeito mútuo, com um compromisso sólido com a Diversidade e a Igualdade de oportunidades. Reconhecemos e valorizamos todas as pessoas, independentemente da sua identidade de género, orientação sexual, etnia, religião, idade ou condição física.Os nossos processos de seleção são conduzidos com base numa avaliação de competências, onde priorizamos a paixão, a vontade de aprender e o desejo de crescer num ambiente internacional.Procuramos jovens com uma atitude positiva, apaixonados pelo atendimento ao público, mesmo em ambientes de trabalho com ritmo acelerado. Valorizamos aqueles que encaram os desafios com entusiasmo, que os veem como oportunidades de desenvolvimento, crescimento profissional e aprendizagem de novas competências. É também essencial possuir uma excelente capacidade de comunicação e habilidade para trabalhar em equipa.No teu dia a dia, como Sales Assistant, irás:Garantir uma experiência excecional ao cliente, oferecendo um serviço de excelência;Manter-te atualizado/a sobre os produtos mais modernos e exclusivos, assegurando os padrões de vendas estabelecidos;Trabalhar com a tua equipa para alcançar objetivos de vendas e os indicadores-chave de performance (KPIs), mantendo-te informado/a sobre as tendências atuais, as promoções em loja e os processos em constante evolução.Requisitos:12º ano de escolaridade, curso técnico com a mesma equivalência ou ensino superior;Excelência no atendimento ao cliente;Boa capacidade de comunicação;Flexibilidade horária;Paixão pelo calçado e pelo ramo retalho/moda. O que temos para te oferecer:Integração num grupo multinacional;Desconto exclusivo para colaboradores e outros benefícios;Remuneração base, complementada por bónus variáveis, alinhados com os objetivos de vendas alcançados;Horários flexíveis, compatíveis com os teus estudos e necessidades pessoais;Oportunidade de formação contínua, para que possas expandir os teus conhecimentos e habilidades ao longo do tempo.Queremos conhecer-te! Se acreditas que esta oferta é ideal para ti, inscreve-te já! Avaliaremos todas as candidaturas que preencham os requisitos e entraremos em contacto para agendar uma entrevista.Sabe mais em https://pt.careers.isrg.com/O grupo:Em 1997, inauguramos a primeira loja Sport Zone em Portugal, com o grupo Sonae como promotor e seguindo uma estratégia de crescimento, em 2008, iniciámos o processo de internacionalização, abrindo a nossa primeira loja em Madrid e, em 2014, a primeira loja franchisada em Ceuta.Em janeiro de 2018, a Sport Zone, juntamente com outras duas insígnias de retalho desportivo - JD e Sprinter - formou o Iberian Sports Retail Group (ISRG), o maior retalhista da Península Ibérica no setor desportivo, com uma rede de mais de 400 lojas, 5 lojas online e uma equipa de mais de 10500 colaboradores.Já em outubro de 2023, o grupo Iberian Sports Retail Group foi adquirido pelo grupo britânico JD Group. Atualmente, o grupo ISRG é composto pelas marcas Sprinter, Sport Zone, Deporvillage e Bodytone, operando em Portugal e Espanha.Na Sport Zone, a nossa história é de paixão pelo desporto e compromisso com os nossos clientes. Com mais de 300 marcas, tanto de renome internacional como a Adidas, Nike, Puma, Reebok, Fila, Asics, quanto as nossas marcas próprias, como a Doone, Up, Silver, Ankor e Team Quest, posicionamo-nos competitivamente no mercado.Oferecemos um ambiente focado na cooperação e no respeito mútuo, com um forte compromisso pela diversidade e pela igualdade de oportunidades. Todas as pessoas serão consideradas independentemente da sua identidade de género, orientação sexual, etnia, religião, idade ou grau de incapacidade.Os nossos processos de seleção baseiam-se no modelo de avaliação por competências profissionais e valorizamos muito a paixão, a vontade de aprender e de crescer num contexto internacional.Estás interessado/a?Inscreve-te já nas nossas ofertas através do nosso site! Estamos à tua espera!Devido ao alto volume de candidaturas que recebemos, pode levar algum tempo até retornarmos o contato. Em caso de que não recebas notícias nossas após duas-três semanas, considera que decidimos avançar com outros perfis que se encaixam melhor com o que procuramos nesta fase. As candidaturas que cumpram com os requisitos serão contactadas pela equipa de Talent. Muito obrigado pelo o teu tempo e interesse!",Sport Zone,"Béja, Béja, Tunisia",Entry level,Full-time,Other,"Technology, Information and Internet"
1 day ago,Réceptionniste (H/F/X),"Description de l'entreprisePourquoi travailler chez Accor ?Nous sommes bien plus qu’un leader mondial. Nous vous accueillons comme vous êtes et vous pouvez trouver le métier et la marque qui correspond à votre personnalité.Nous vous accompagnons dans votre évolution et votre apprentissage au quotidien, nous nous assurons que votre travail apporte du sens à votre vie. Ainsi, durant votre expérience avec nous, vous pouvez explorer les possibilités illimitée du Groupe Accor.En rejoignant Accor, vous écrivez chaque chapitre de votre histoire et ensemble nous pouvons imaginer l’Hôtellerie de demain. Découvrez la vie qui vous attend chez Accor, https://careers.accor.com/.Faites ce que vous aimez, prenez soin du monde qui vous entoure, oser challenger le status quo ! #BELIMITLESS, Description du posteRéceptionniste (H/F)La première impression est toujours la bonne! En tant que Réceptionniste, vous prenez soin de nos clients depuis leur arrivée jusqu'à leur départ, en vous assurant qu'ils vivent une expérience mémorable.Ce que l'établissement vous offre :Carte collaborateurs offrant des taux réduits chez AccorPlan de formations délivrées dans nos AcadémiesL’opportunité de développer vos talents et de vous épanouir au sein de votre établissement et à travers le mondeLa capacité à faire la différence à travers nos activités Ethiques & Responsabilité Sociale des Entreprises, comme Planet 21Votre rôle :Accueillir les clients, assurer le check-in et check-out, établir la facturation et l'encaissement en garantissant un service exceptionnelProposer une expérience personnalisée pour le clientPromouvoir les équipements de l'établissement, améliorer le séjour des clients en proposant des services, QualificationsVotre expérience et vos compétences incluent :Qualité de service essentielle : une expérience similaire est un plusMaîtrise du logiciel Opera ou équivalentMaîtrise de l'AnglaisInformations supplémentairesla pratique d'autres langues est un plus.Votre équipe et votre environnement de travail :En quelques mots, présentez l’équipe, l’établissement ou l’environnement de travail qui reflète la culture de l'équipeNote : Vous pouvez inclure ici les spécificités locales ou les critères légaux, tels que le permis de travail.Notre Engagement Diversité & Inclusion :Nous sommes une entreprise inclusive et notre ambition est d’attirer, de recruter, et de promouvoir la diversité des talents.",Mövenpick Hotels & Resorts,"Tunis, Tunis, Tunisia",Not Applicable,Full-time,Administrative,Hospitality
2 weeks ago,Vendedor (M/F/D) Beja,"Descrição da EmpresaKnower™ Especialistas em especialistas Presentes no mercado há mais de 20 anos, na Knower™ somos especialistas em especialistas e atuamos em setores de atividade tão diversos como Limpezas (Knower™ Clean), Tecnologias (Knower™ Tech), Saúde (Knower™ Care), Logística (Knower™ Industry & Logistics), Contact Center (Knower™ Contact) e Field Marketing e Ativação de Marca (Bechosen/ Knower™ Brands). O profissionalismo, rigor e especialização dos nossos profissionais permite-nos posicionar como um player de referência para o fornecimento de serviços de Outsourcing. Achas que tens o que é preciso, especialista? Descobre as nossas vagas em aberto.Descrição da FunçãoA Knower está atualmente em processo de recrutamento de Vendedor (M/F/D) para empresa nossa cliente, localizada na zona de Beja. Descrição: - Apresentação, Promoção e Venda de diversos produtos ao cliente externo; - Apoiar o cliente no esclarecimento das suas dúvidas; - Promoção de produtos e serviços de telecomunicações. Requisitos - Falar fluentemente língua portuguesa; - Discurso fluido e boa dicção; - Dinâmico, assertivo, proativo e ambicioso; - Boa capacidade de argumentação; - Lidar com cada tarefa e desafio com uma abordagem positiva e com contribuição e resiliência necessária a cada cliente. Observações Condições: - Contrato de trabalho; - Horário de Full-Time ou Part-Time; - Integração em equipa jovem e dinâmica.Localização Beja, Portugal ObservaçõesWe Know How! WE SAY HELLO TO EVERYONE! Acreditamos que o talento supera idade, identidade de género, etnias, orientações políticas ou religiosas, ultrapassa barreiras de expressão, de níveis de ensino e de limites físicos. O nosso compromisso é com o mérito de quem procura ser uma versão melhor de si todos os dias! Por este motivo, procuramos que o nosso processo de recrutamento e seleção seja inclusivo e respeite a individualidade de cada pessoa, criando uma experiência saudável e feliz para quem se cruza connosco. Qualquer questão adicional disponha!",Knower™,"Béja, Béja, Tunisia",Entry level,Full-time,Sales and Business Development,Human Resources Services
2 weeks ago,Appel à Candidature d’Administrateurs Indépendants Au Conseil d’Administration de Smart Capital,"Description de l'entrepriseStartup Tunisia est une initiative nationale qui ambitionne de faire de la Tunisie un pays de Startups à la croisée de la méditerranée, de la région MENA et de l’Afrique.L’initiative a été confiée à Smart Capital, une société de gestion, agréée par le Conseil du Marché financier en 2019 pour gérer le projet structuré autour des trois piliers suivants :Startup Act : un cadre juridique unique et un ensemble d’incitations offert aux Startups innovantes et scalablesStartup Invest : Un nouveau cadre d’investissement dédié aux Startups bâties autour d’un fonds de fonds d’une taille cible de 100 Million d’Euros financé par la Banque Mondiale et la KfW œuvrant à booster l’écosystème des VC en Tunisie,Startup Ecosystem : Un cadre d’appui pour un écosystème de Startups performant et inclusif axé sur les thématiques de financement, d’animation et de connexions, sponsorisés par plusieurs bailleurs dont la Banque Mondiale, La GIZ, et l’Union Européenne. Smart Capital gère aussi un Fonds d’investissement direct dans les PME innovantes d’une taille cible de 125 Millions de Dinars.Cette initiative ambitieuse est le fruit d’une dynamique collaborative et participative impliquant toutes les parties prenantes de l’écosystème des Startups. Pour réaliser sa mission, Smart Capital mobilise une équipe talentueuse et engagée et s’aligne sur les meilleurs standards internationaux de fonctionnement. Smart Capital voudrait renforcer la composition de son conseil par des administrateurs indépendants venant du secteur privé et plus particulièrement du monde de l’investissement (Venture Capital et Private Equity) et des Startups., Description du posteLa mission des administrateurs indépendants est comme celle du reste des administrateurs dans le conseil d'administration. Conformément à l’article 23 des statuts de Smart Capital le conseil est investi des pouvoirs les plus étendus, dans le cadre de l'objet social de la Société, (sous réserve des seuls actes ou opérations qui sont, du fait de la loi, de la compétence exclusive de l'assemblée générale), pour représenter, gérer, administrer, engager et développer les activités de la Société.L’apport de l’administrateur indépendant est axé particulièrement surce qui suit :Sa compréhension approfondie de l’écosystème des Startups et du VC en Tunisie et ailleurs pour aider le conseil à mieux atteindre ses objectifs et ses priorités à court et moyen terme et à mettre en place les programmes appropriés pour y parvenirSa contribution et celle de son réseau national et international à aider Smart Capital à lever les capitaux nécessaires pour son fonds de fonds ANAVA et son fonds direct, INNOVATECH et les fonds/subventions nécessaires pour alimenter ses programmes d’appui à l’écosystème type Flywheel, HALO, Invest’i et autres. Son appui aux missions de soutien, de connexion et de sensibilisation nationale et auprés de la diaspora de la nouvelle économie basée sur l’innovation et la technologie. Ses efforts pour assurer la connexion et la collaboration avec les acteurs locaux et internationaux du monde del’investissement. Tout appui à la promotion de l’écosystème local des Startups, des VCs et de la PME innovante en mettant en avant ses acteurs clés, ses startups et le cadre Startup Tunisia ou à travers l’appui à l’organisation d’événements au rayonnement régional ou international, QualificationsDe nationalité tunisienne. Expérience dans le secteur du VC ou capital risque, des investissements, du droit des entreprises ou de la comptabilité. Acteur de l’écosystème des startups ou entrepreneurial en Tunisie ou à l’international (en tant qu'investisseur ou en tant qu’entrepreneur). Expérience dans la structuration de projets/programmes pour l’innovation serait un atoutPassionné(e) par le monde des startups et de l’innovationRigoureux, ayant le sens du détail. Sens éthique élevéAbsence de conflit d’intérêt avec l’activité de Smart CapitalÊtre issu du secteur privéÊtre résidant en TunisieInformations supplémentairesun mandat de 3 année renouvelable.Périodicité des conseils: minimum 4 par an.La date limite de candidature: 11 Juillet 2024.",Smart Capital,"Ḥalq al-Wādī, Tunis, Tunisia",Executive,Full-time,Other,Financial Services
1 year ago,Anúncio de emprego: Copeiro (M/F) - Beja,"Anúncio de emprego: Copeiro (M/F) - Beja:SERLIMADescrição Do Emprego:Copeiro (M/F) - Beja»Serlima»24-12-2024»Ref: 7364963»Beja»Hotelaria / TurismoReferência:Detalhe da Oferta:0000000891Referência Da Oferta:A Serlima Integrated Services é uma empresa especializada na prestação de serviços a todas as áreas de negócio do Grupo Serlima, enquadrada no conceito de serviços partilhados.Descrição:O/a colaborador/a ficará responsável pela limpeza de utensílios, equipamentos e instalações de acordo com os standards de exigência e condições definidas pelo cliente.Referência Da Oferta: Experiência anterior comprovada na função (fator eliminatório); Gosto pelo trabalho em equipa; Dinamismo e proatividade; Sentido de responsabilidade; Disponibilidade imediata e total.Oferta: Bom ambiente de trabalho; Remuneração compatível com a função;Responda a Esta Oferta Em:Mais Ofertas de Emprego Semelhantes:",Grupo Serlima,"Béja, Béja, Tunisia",Entry level,Full-time,Management and Manufacturing,Facilities Services
2 weeks ago,Apontador Administrativo- Beja,"Descrição da FunçãoM/F Tecnovia - Sociedade de Empreitadas, SA, empresa Portuguesa de referência no setor da Engenharia e Construção, com uma forte presença no mercado Nacional e Internacional, procura integrar nos projetos da empresa: Apontador / Administrativo – Beja Perfil Pretendido: - 12º ano de escolaridade ou formação técnica (preferencial); - Experiência em funções administrativas, nomeadamente: registo de guias de transporte, elaboração de faturas, controlo da expedição de cargas; - Conhecimentos de informática (Excel e Word); - Experiência no software Primavera (preferencial); - Boa capacidade de gestão de stress e prazos estabelecidos; - Facilidade de comunicação e relacionamento interpessoal; - Disponibilidade para deslocações a nível nacional; - Dinamismo e proatividade; - Flexibilidade de horários; - Carta de condução. Local de trabalho: Beja e/ou OuriqueLocalização Beja, Portugal",Tecnovia Sociedade de Empreitadas S.A,"Béja, Béja, Tunisia",Entry level,Full-time,Administrative,Construction
9 months ago,Oferta de emprego: Técnico de Análises Clínicas - Beja,"Oferta de emprego: Técnico de Análises Clínicas - Beja:MANPOWER PORTUGALDescrição Do EmpregoTécnico de Análises Clínicas - Beja»Manpower Portugal»Ref: 7006246»20-12-2024»Beja»Saúde / Medicina / EnfermagemDetalhe Da OfertaA ManpowerGroup, empresa lider em Recursos Humanos Referência da oferta: Técnico de Análises Clínicas, para integrar prestigiado cliente no distrito de Beja,Referência Da Oferta Licenciatura na área de ciências Biomédicas Laboratoriais ou similar; Com ou sem experiência na função; Dinâmico e responsável; Saber gerir o tempo; Disponibilidade imediata;Oferta Contrato direto com o cliente; Bom Ambiente de trabalho; Remuneração base + Subsídio de alimentação + Seguro de saúdeHorário De Trabalho Part TimeReferência da oferta:: Concelho de BejaSe reúne os requisitos para a função, envie-nos o seu Referência da oferta: atualizado para *** Candidatura Online ***",ManpowerGroup Portugal,"Béja, Béja, Tunisia",Entry level,Part-time,Engineering and Information Technology,Human Resources Services
1 month ago,Directeur Logistique Groupe H/F,"Vidal Associates Consulting and Search, acteur de référence dans le recrutement par approche directe de cadres spécialistes et de dirigeants en France et à l'international, recrute pour son client un(e) Directeur Logistique Groupe H/F, poste basé à Nabeul (Tunisie).Notre client est un groupe Tunisien, leader dans le marché de fabrication d'emballages plastiques à usage industriel opérant dans des domaines d'activité diversifiés tel que : la Chimie et Agro-alimentaire pour plus de 50 ans. Il fait partie d'un ensemble de groupe tunisien qui opère sur le marché de l'Afrique du Nord et l'Afrique Subsaharienne.Notre client continue son développement et recrute un(e) :Directeur Logistique Groupe H/FPoste basé à Nabeul (Tunisie)Rattaché au Directeur Général, vos principales missions seront de : Planifier et gérer de manière stratégique la logistique, l'entreposage, le transport et le service à la clientèle ; Assurer le suivi de la qualité, de la quantité, des niveaux de stock, des délais de livraison, des coûts de transport et de l'efficacité ; Coordonner les actions logistiques entre les sites, en relation avec les achats, les approvisionnements et les méthodes ; Optimiser les stocks de matières premières, composants et produits semi-finis, dans un cadre « juste à temps » des fournisseurs, sans générer de manquants ; Superviser et optimiser l'organisation des flux internes de l'usine, dans un contexte de flux tendus vers les clients ; Gestion des différents magasins (produits finis, Matière première, etc...).De formation Bac+5 en Logistique / Supply Chain.Vous possédez une expérience confirmée dans un poste similaire, dans le secteur FMCG, Grande Distribution.Vous possédez un bon niveau en Français.Le leadership, la rigueur, la réactivité, le sens de l'organisation et de responsabilité, la capacité d'encadrer des équipes et de résolutions des problèmes.Afin d'étudier votre candidature avec attention, nous vous remercions de l'adresser à VIDAL ASSOCIATES Consulting & Search, en déposant votre dossier sous la référence « Vt15214F » sur notre site www.talentup.com ou par email à vt15214f-145@talentup.net",Talentup,"Nabeul, Tunisia",Director,Full-time,Management and Manufacturing,Human Resources Services
4 weeks ago,Paid Online Market Research - Tunisia,,Powerdata Group Consulting,"Ariana, Ariana, Tunisia",,,,
2 days ago,Agent de maintenance,"Description Du PosteÀ propos de nous:Mentor Tunisie S.C.S. a été créé en 1980 et notre activité principale est le montage de pièces électromécaniques pour l'industrie automobile et d'autres secteurs.Description De L'offreNous recherchons un Agent de maintenance compétent pour rejoindre notre équipe dynamique.ResponsabilitésEffectuer des réparations et des entretiens préventifs sur les équipements de production.Collaborer avec les équipes de production pour minimiser les temps d'arrêt.Assurer la maintenance préventive et corrective des machines et des équipements de production.Résoudre les problèmes de manière efficace et rapide.ExigencesDiplôme d'études secondaires ou l'équivalent.Expérience professionnelle pertinente dans la maintenance industrielle.Connaissances en électricité, compétences en mécanique et en soudure.Compétences en gestion du temps et en résolution de problèmes.Capacité à travailler en équipe et à communiquer efficacement avec les collègues et les superviseurs.",MENTOR TUNISIE S.C.S.,"Tunis, Tunis, Tunisia",Not Applicable,Contract,Other,Utilities
