post_date,job_title,job_description,company,location,seniority,employement_type,job_functions,industry
2023-07,Anúncio de emprego: Eletricista Auto (M/F) – Minas de Aljustrel e Castro Verde – Refª C-EA -,"Anúncio de emprego: Eletricista Auto (M/F) – Minas de Aljustrel e Castro Verde – Refª C-EA -:PSICOTEMPOS - Empresa de Trabalho Temporário, Lda.Descrição Do EmpregoEletricista Auto (M/F) – Minas de Aljustrel e Castro Verde – Refª C-EA - URGENTE»PSICOTEMPOS - Empresa de Trabalho Temporário, Lda.»29-12-2024»Ref: 7384484»Beja»Conservação / Manutenção / TécnicaDetalhe Da OfertaPrestigiada empresa de Comércio e Distribuição de Equipamentos para Obras Públicas, Mineiros e Construção Civil, seleciona por nosso intermédio, para desempenhar funções nas minas deALJUSTREL E CASTRO VERDE: ELETRICISTA AUTO  (Laboração em Mina) (M/F) Pretende-se Formação técnica em Eletrónica; Experiência comprovada; Caso não possua residência na zona, será assegurado o alojamento e a alimentação; Facilidade de relacionamento e comunicação; Responsável, pró-activo e dinâmico; Referências.Referência Da Oferta Integração numa empresa sólida, em forte expansão, formação contínua e remuneração compatível com a experiência demonstrada; Perspetivas de carreira e valorização profissional; Amplas regalias sociais em vigor na empresa; Contrato de trabalho direto com o cliente.Se reúne estes requisitos, Referência da oferta: detalhado para *** Candidatura Online ***com a indicação daRefª C-EAConsulte o nosso Facebook e clique “Gosto” para receber todas as novas ofertas de emprego:Siga-nos também no Linkedin em e veja as nossas novidades.Ao enviar a sua candidatura, estará implicitamente a dar consentimento para o tratamento dos seus dados pessoais.Os dados pessoais fornecidos através da sua candidatura, serão preservados durante o período em que decorra o processo a que se candidate ou durante o período que se considere necessário até à identificação de uma oportunidade de emprego. Para ambas as situações, se a candidatura não for considerada, será eliminada ao fim de 6 meses.Consulte a nossa Política de Privacidade emPSICOTEMPOS, ETT. - Alvará nº 434 de 30 de Maio de 2003CompetênciasMais Ofertas de Emprego Semelhantes:",Psicotempos,"Béja, Béja, Tunisia",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
2023-07,Anúncio de emprego: Motorista de Pesados (m/f) - SV Frutas - Beja,"Anúncio de emprego: Motorista de Pesados (m/f) - SV Frutas - Beja:VILA GALÉ HOTÉISDescrição Do Emprego Referência da oferta: VILA GALÉ HOTÉIS  Referência da oferta: Tempo Inteiro Referência da oferta: 25-12-2024 Zona  BejaReferência da oferta: Transportes / LogísticaReferência Da OfertaA marca SV Frutas pertencente ao Grupo hoteleiro Vila Galé S.A. pretende integrar na sua equipa Motorista de Pesados (m/f).Local: BejaReferência da oferta:: Experiência anterior comprovada como Motorista de Pesados Carta de Condução de Veículos Pesados categoria C Possuidor de CAM/CQM; Possuidor de Cartão de Tacógrafo; Escolaridade mínima obrigatória; Disponibilidade para deslocações regulares a nível nacional Residente na zona de Beja, Castro Verde, Ourique ou Aljustrel Elevado sentido de responsabilidade;Oferecemos Integração em empresa sólida e segura; Remuneração compatível com função e benefícios em vigor na empresa;Envie a sua candidatura para *** Candidatura Online ***",VILA GALÉ HOTÉIS,"Béja, Béja, Tunisia",Entry level,Full-time,Other,Hospitality
2023-07,Oferta: ADMINISTRATIVO(A) - Beja,"Oferta: ADMINISTRATIVO(A) - Beja:rhDescrição Do EmpregoADMINISTRATIVO(A) - Beja»RH»Ref: 7338978»5-12-2024»Beja»Administração / SecretariadoDetalhe Da OfertaEmpresa de soluções energéticas e comercialização de equipamentos nas áreas de AVAC, Eletricidade e Energias Renováveis, entre outras, procura administrativo(a) para reforçar a sua equipa da delegação de Beja.Referência Da Oferta Atendimento telefónico ou presencial da delegação; Controlo dos valores de caixa - recebimentos, pagamentos e cobranças; Arquivo de toda a documentação da actividade da delegação; Elaboração dos mapas financeiros.Perfil 12º ano, preferencialmente em área de secretariado ou similar; Experiência de trabalho na área administrativa; Responsabilidade, organização e dinamismo; Residência na região de Beja.Oferta Vencimento base + subsídio de alimentação; Integração em empresa sólida e equipa jovem.Referência da oferta:(a) na oferta e cumpra o perfil definido, envie a sua candidatura através do link:CompetênciasMais Ofertas de Emprego Semelhantes:",RH PARTNERS DO BRASIL,"Béja, Béja, Tunisia",Entry level,Full-time,Other,Business Consulting and Services
2023-07,Oferta de emprego: Encarregado de Obras (m/f) - Beja,"Oferta de emprego: Encarregado de Obras (m/f) - Beja:GLOBALTEMPDescrição Do EmpregoEncarregado de Obras (m/f) - Beja»GLOBALTEMP»Ref: 7273644»13-12-2024»Beja»Construção CivilDetalhe Da OfertaA Globaltemp, SA. encontra-se atualmente em processo de recrutamento, para prestigiada empresa nossa cliente a atuar nos setores da Construção Civil e Obras Públicas:ENCARREGADO DE OBRAS (m/f) – BEJA (Cuba do Alentejo)Referência Da Oferta Colaborar com os responsáveis pela obra no planeamento e preparação da mesma; Colaboração com a direção de obra no planeamento e gestão dos recursos necessários à execução da obra, nomeadamente humanos, materiais e de equipamentos; Coordenação e controlo da execução de trabalhos de modo a garantir a qualidade exigida e cumprimentos dos prazos estipulados no planeamento.Perfil Polivalência em diversas áreas da construção civil; Experiência profissional mínima de 5 anos; Forte Capacidade de Liderança com equipas de trabalho e subempreiteiros; Capacidade de Rigor, Planeamento de Trabalhos, Organização, Método de Trabalho; Bons conhecimentos de interpretação de projetos - leitura e implementação; Capacidade para trabalhar sob stress; Espírito de equipa e sentido de responsabilidade; Dinamismo e proatividade; Disponibilidade imediata.Condições Vencimento adequado à função desempenhada; Subsídio de alimentação; Contrato de trabalho; Entrada Imediata.Se reúne os requisitos do perfil acima, entre em contacto connosco através dos nºs 934 134 777 e 211 583 731. Pode também enviar-nos o seu CV atualizado para o email *** Candidatura Online ***",Globaltemp,"Béja, Béja, Tunisia",Mid-Senior level,Full-time,Other,Staffing and Recruiting
2023-07,Oferta de emprego: Empregada de Andares (M/F) - Beja,"Oferta de emprego: Empregada de Andares (M/F) - Beja:SERLIMADescrição Do Emprego:Empregada de Andares (M/F) - Beja»Serlima»24-12-2024»Ref: 7364944»Beja»Hotelaria / TurismoReferência:Detalhe da Oferta:0000000889Referência Da Oferta:A Serlima Integrated Services é uma empresa especializada na prestação de serviços a todas as áreas de negócio do Grupo Serlima, enquadrada no conceito de serviços partilhados.Descrição:O/a colaborador/a será responsável pela limpeza e arrumação de quartos e das áreas comuns da unidade hoteleira.Referência Da Oferta: Experiência anterior comprovada na função (preferencial); Boa apresentação; Gosto pelo atendimento ao público; Gosto pelo trabalho em equipa; Dinamismo e proatividade; Sentido de responsabilidade; Disponibilidade imediata e total.Oferta: Bom ambiente de trabalho; Remuneração compatível com a função.Responda a Esta Oferta Em:Mais Ofertas de Emprego Semelhantes:",Grupo Serlima,"Béja, Béja, Tunisia",Entry level,Full-time,Other,Facilities Services
2023-07,Oferta de emprego: Funcionário de Serviços de Limpeza (M/F) – Aljustrel – Refª C-FSL - URGENTE,"Oferta de emprego: Funcionário de Serviços de Limpeza (M/F) – Aljustrel – Refª C-FSL - URGENTE:PSICOTEMPOS - Empresa de Trabalho Temporário, Lda.Descrição Do EmpregoFuncionário de Serviços de Limpeza (M/F) – Aljustrel – Refª C-FSL - URGENTE»PSICOTEMPOS - Empresa de Trabalho Temporário, Lda.»Ref: 7095844»6-12-2024»Beja»Limpezas / DomésticasDetalhe Da OfertaPrestigiada empresa de Comércio e Distribuição de Equipamento para Obras Públicas, Minas e Construção Civil, seleciona por nosso intermédio, para as suas instalações em ALJUSTREL:FUNCIONÁRIO DE SERVIÇOS DE LIMPEZA(M/F)Pretende-se Experiência comprovada; Facilidade de relacionamento; Responsável, pró-activo; Referências.Referência Da Oferta Integração numa empresa sólida, em forte expansão, formação contínua e remuneração compatível com a experiência demonstrada; Perspetivas de carreira e valorização profissional; Amplas regalias sociais em vigor na empresa; Contrato de trabalho direto com o cliente.Se reúne estes requisitos, Referência da oferta: detalhado para *** Candidatura Online ***com a indicação da Refª C-FSL.Consulte o nosso Facebook e clique “Gosto” para receber todas as novas ofertas de emprego:Siga-nos também no Linkedin em e veja as nossas novidades.PSICOTEMPOS, ETT. - Alvará nº 434 de 30 de Maio de 2003",Psicotempos,"Béja, Béja, Tunisia",Entry level,Full-time,Management and Manufacturing,Staffing and Recruiting
2023-07,Anúncio de emprego: Copeiro (M/F) - Beja,"Anúncio de emprego: Copeiro (M/F) - Beja:SERLIMADescrição Do Emprego:Copeiro (M/F) - Beja»Serlima»24-12-2024»Ref: 7364963»Beja»Hotelaria / TurismoReferência:Detalhe da Oferta:0000000891Referência Da Oferta:A Serlima Integrated Services é uma empresa especializada na prestação de serviços a todas as áreas de negócio do Grupo Serlima, enquadrada no conceito de serviços partilhados.Descrição:O/a colaborador/a ficará responsável pela limpeza de utensílios, equipamentos e instalações de acordo com os standards de exigência e condições definidas pelo cliente.Referência Da Oferta: Experiência anterior comprovada na função (fator eliminatório); Gosto pelo trabalho em equipa; Dinamismo e proatividade; Sentido de responsabilidade; Disponibilidade imediata e total.Oferta: Bom ambiente de trabalho; Remuneração compatível com a função;Responda a Esta Oferta Em:Mais Ofertas de Emprego Semelhantes:",Grupo Serlima,"Béja, Béja, Tunisia",Entry level,Full-time,Management and Manufacturing,Facilities Services
2023-07,Oferta: Serventes (m/f) - Moura,"Oferta: Serventes (m/f) - Moura:GLOBALTEMPDescrição Do Emprego Referência da oferta: GLOBALTEMP  Referência da oferta: Tempo Inteiro Referência da oferta: 26-12-2024 Zona  BejaReferência da oferta: Construção CivilReferência Da OfertaA GLOBALTEMP, Empresa de Trabalho Temporário, S.A., encontra-se atualmente em processo de recrutamento, para prestigiada empresa nossa cliente.Serventes (m/f) – MouraPerfil Experiência na função; Assíduo; Pontual; Sentido de responsabilidade; Disponibilidade total e imediata;Trabalho a desenvolver - reforço estrutural de passagens hidraulicas!Condições Vencimento base; Subsidio de alimentação; Proporcionais de férias + natal Contrato de trabalho a tempo inteiro; Transporte para a obra; Entrada Imediata.Se reúne os requisitos do perfil acima, ligue para 211 583 731 ou 934 134 777, ou envie o seu currículo por email, para *** Candidatura Online ***",Globaltemp,"Béja, Béja, Tunisia",Entry level,Full-time,Other,Staffing and Recruiting
2023-07,Automotive ECUs Test Development and Validation Engineer,"Primatec Engineering is a technology company providing engineering services, consulting and support for ECU testing in the automotive industry. With more than 13 years of experience and more than 500 employees, Primatec is leveraging the latest technologies and world’s best talent to realize innovative projects for autonomous driving, and electric vehicles. To meet the challenges of an increasingly complex automotive context, Primatec relieves its customers to enroll end to end ECU testing services from the concept through prototyping to testing and validation.Primatec intends to widen its family and is currently seeking for Junior and Senior Test Development & Validation Engineers to join the team. If you are driven to define your own experience and build more sustainable future, then this is the right place for you.As the automotive ECUs Test Development and Validation Engineer, you’ll be working with some of the brightest minds to bring the newest technologies at vehicles to life by developing and automating validation testing for electronic control units. In your role you will:Design, Develop and automate test scenarios for automotive electronic control unitsIdentify, document and manage end customer requirements from unit to software-in-loop testing for in-house/supplier ECUsTroubleshooting failures, perform cause analysis, and provide reports to key stakeholders and cross functional teamsInteract with CI infrastructure to run and debug developed test scenariosPerform root cause analysis for discovered issues in test resultsPerform peer code reviews of automated testsDevelop automatic Tests using Python scripting (or similar)Engineer or master’s in Computer / Electrical / Electronics engineering or other relevant degree.Knowledge of basic ECU/Microcontroller hardware architectureKnowledge / Experience in software QA, manual testing, tests automationGood knowledge of testing types: HIL, SIL, MIL, PILFamiliarity with Software Testing process, techniques and tools (eg. Jenkins)Familiarity with CAN, LIN, FlexRay, Ethernet, and other automotive communication protocols. Knowledge in DoIP, HSFZ and SOMEIP is a plus.Algorithmic and Programming skills (Python, Java, C/C++, DotNet)Ability to work in a fast-paced development environment.Agile/Scrum methodology knowledgeGood English verbal and written communication skills. German is a plus.Creative curiosity, collaborative ethic, proactivity and team-working tendencies.",Primatec Engineering,"Sfax, Sfax, Tunisia",Not Applicable,Full-time,Other,Motor Vehicle Manufacturing
2023-07,Oferta de emprego: Funcionário de Serviços de Limpeza (M/F) – Aljustrel – Refª C-FSL - URGENTE,"Oferta de emprego: Funcionário de Serviços de Limpeza (M/F) – Aljustrel – Refª C-FSL - URGENTE:PSICOTEMPOS - Empresa de Trabalho Temporário, Lda.Descrição Do EmpregoFuncionário de Serviços de Limpeza (M/F) – Aljustrel – Refª C-FSL - URGENTE»PSICOTEMPOS - Empresa de Trabalho Temporário, Lda.»Ref: 7095844»6-12-2024»Beja»Limpezas / DomésticasDetalhe Da OfertaPrestigiada empresa de Comércio e Distribuição de Equipamento para Obras Públicas, Minas e Construção Civil, seleciona por nosso intermédio, para as suas instalações em ALJUSTREL:FUNCIONÁRIO DE SERVIÇOS DE LIMPEZA(M/F)Pretende-se Experiência comprovada; Facilidade de relacionamento; Responsável, pró-activo; Referências.Referência Da Oferta Integração numa empresa sólida, em forte expansão, formação contínua e remuneração compatível com a experiência demonstrada; Perspetivas de carreira e valorização profissional; Amplas regalias sociais em vigor na empresa; Contrato de trabalho direto com o cliente.Se reúne estes requisitos, Referência da oferta: detalhado para *** Candidatura Online ***com a indicação da Refª C-FSL.Consulte o nosso Facebook e clique “Gosto” para receber todas as novas ofertas de emprego:Siga-nos também no Linkedin em e veja as nossas novidades.PSICOTEMPOS, ETT. - Alvará nº 434 de 30 de Maio de 2003",Psicotempos,"Béja, Béja, Tunisia",Entry level,Full-time,Management and Manufacturing,Staffing and Recruiting
