post_date,job_title,job_description,company,location,seniority,employement_type,job_functions,industry
2024-01-01,VEHICLES/AS (m/f) SPORT ZONE BEJA,"Na Sport Zone estamos empenhados em criar e manter um ambiente fundamentado na cooperação e no respeito mútuo, com um compromisso sólido com a Diversidade e a Igualdade de oportunidades. Reconhecemos e valorizamos todas as pessoas, independentemente da sua identidade de género, orientação sexual, etnia, religião, idade ou condição física.Os nossos processos de seleção são conduzidos com base numa avaliação de competências, onde priorizamos a paixão, a vontade de aprender e o desejo de crescer num ambiente internacional.Procuramos jovens com uma atitude positiva, apaixonados pelo atendimento ao público, mesmo em ambientes de trabalho com ritmo acelerado. Valorizamos aqueles que encaram os desafios com entusiasmo, que os veem como oportunidades de desenvolvimento, crescimento profissional e aprendizagem de novas competências. É também essencial possuir uma excelente capacidade de comunicação e habilidade para trabalhar em equipa.No teu dia a dia, como Sales Assistant, irás:Garantir uma experiência excecional ao cliente, oferecendo um serviço de excelência;Manter-te atualizado/a sobre os produtos mais modernos e exclusivos, assegurando os padrões de vendas estabelecidos;Trabalhar com a tua equipa para alcançar objetivos de vendas e os indicadores-chave de performance (KPIs), mantendo-te informado/a sobre as tendências atuais, as promoções em loja e os processos em constante evolução.Requisitos:12º ano de escolaridade, curso técnico com a mesma equivalência ou ensino superior;Excelência no atendimento ao cliente;Boa capacidade de comunicação;Flexibilidade horária;Paixão pelo calçado e pelo ramo retalho/moda. O que temos para te oferecer:Integração num grupo multinacional;Desconto exclusivo para colaboradores e outros benefícios;Remuneração base, complementada por bónus variáveis, alinhados com os objetivos de vendas alcançados;Horários flexíveis, compatíveis com os teus estudos e necessidades pessoais;Oportunidade de formação contínua, para que possas expandir os teus conhecimentos e habilidades ao longo do tempo.Queremos conhecer-te! Se acreditas que esta oferta é ideal para ti, inscreve-te já! Avaliaremos todas as candidaturas que preencham os requisitos e entraremos em contacto para agendar uma entrevista.Sabe mais em https://pt.careers.isrg.com/O grupo:Em 1997, inauguramos a primeira loja Sport Zone em Portugal, com o grupo Sonae como promotor e seguindo uma estratégia de crescimento, em 2008, iniciámos o processo de internacionalização, abrindo a nossa primeira loja em Madrid e, em 2014, a primeira loja franchisada em Ceuta.Em janeiro de 2018, a Sport Zone, juntamente com outras duas insígnias de retalho desportivo - JD e Sprinter - formou o Iberian Sports Retail Group (ISRG), o maior retalhista da Península Ibérica no setor desportivo, com uma rede de mais de 400 lojas, 5 lojas online e uma equipa de mais de 10500 colaboradores.Já em outubro de 2023, o grupo Iberian Sports Retail Group foi adquirido pelo grupo britânico JD Group. Atualmente, o grupo ISRG é composto pelas marcas Sprinter, Sport Zone, Deporvillage e Bodytone, operando em Portugal e Espanha.Na Sport Zone, a nossa história é de paixão pelo desporto e compromisso com os nossos clientes. Com mais de 300 marcas, tanto de renome internacional como a Adidas, Nike, Puma, Reebok, Fila, Asics, quanto as nossas marcas próprias, como a Doone, Up, Silver, Ankor e Team Quest, posicionamo-nos competitivamente no mercado.Oferecemos um ambiente focado na cooperação e no respeito mútuo, com um forte compromisso pela diversidade e pela igualdade de oportunidades. Todas as pessoas serão consideradas independentemente da sua identidade de género, orientação sexual, etnia, religião, idade ou grau de incapacidade.Os nossos processos de seleção baseiam-se no modelo de avaliação por competências profissionais e valorizamos muito a paixão, a vontade de aprender e de crescer num contexto internacional.Estás interessado/a?Inscreve-te já nas nossas ofertas através do nosso site! Estamos à tua espera!Devido ao alto volume de candidaturas que recebemos, pode levar algum tempo até retornarmos o contato. Em caso de que não recebas notícias nossas após duas-três semanas, considera que decidimos avançar com outros perfis que se encaixam melhor com o que procuramos nesta fase. As candidaturas que cumpram com os requisitos serão contactadas pela equipa de Talent. Muito obrigado pelo o teu tempo e interesse!",Sport Zone,"Béja, Béja, Tunisia",Entry level,Full-time,Other,"Technology, Information and Internet"
2024-07-01,Receipt (H/F/X),"Description de l'entreprisePourquoi travailler chez Accor ?Nous sommes bien plus qu’un leader mondial. Nous vous accueillons comme vous êtes et vous pouvez trouver le métier et la marque qui correspond à votre personnalité.Nous vous accompagnons dans votre évolution et votre apprentissage au quotidien, nous nous assurons que votre travail apporte du sens à votre vie. Ainsi, durant votre expérience avec nous, vous pouvez explorer les possibilités illimitée du Groupe Accor.En rejoignant Accor, vous écrivez chaque chapitre de votre histoire et ensemble nous pouvons imaginer l’Hôtellerie de demain. Découvrez la vie qui vous attend chez Accor, https://careers.accor.com/.Faites ce que vous aimez, prenez soin du monde qui vous entoure, oser challenger le status quo ! #BELIMITLESS, Description du posteRéceptionniste (H/F)La première impression est toujours la bonne! En tant que Réceptionniste, vous prenez soin de nos clients depuis leur arrivée jusqu'à leur départ, en vous assurant qu'ils vivent une expérience mémorable.Ce que l'établissement vous offre :Carte collaborateurs offrant des taux réduits chez AccorPlan de formations délivrées dans nos AcadémiesL’opportunité de développer vos talents et de vous épanouir au sein de votre établissement et à travers le mondeLa capacité à faire la différence à travers nos activités Ethiques & Responsabilité Sociale des Entreprises, comme Planet 21Votre rôle :Accueillir les clients, assurer le check-in et check-out, établir la facturation et l'encaissement en garantissant un service exceptionnelProposer une expérience personnalisée pour le clientPromouvoir les équipements de l'établissement, améliorer le séjour des clients en proposant des services, QualificationsVotre expérience et vos compétences incluent :Qualité de service essentielle : une expérience similaire est un plusMaîtrise du logiciel Opera ou équivalentMaîtrise de l'AnglaisInformations supplémentairesla pratique d'autres langues est un plus.Votre équipe et votre environnement de travail :En quelques mots, présentez l’équipe, l’établissement ou l’environnement de travail qui reflète la culture de l'équipeNote : Vous pouvez inclure ici les spécificités locales ou les critères légaux, tels que le permis de travail.Notre Engagement Diversité & Inclusion :Nous sommes une entreprise inclusive et notre ambition est d’attirer, de recruter, et de promouvoir la diversité des talents.",Mövenpick Hotels & Resorts,"Tunis, Tunis, Tunisia",Not Applicable,Full-time,Administrative,Hospitality
2023-07-01,Offer: ADMINISTRATIVE(A) - Beja,"Oferta: ADMINISTRATIVO(A) - Beja:rhDescrição Do EmpregoADMINISTRATIVO(A) - Beja»RH»Ref: 7338978»5-12-2024»Beja»Administração / SecretariadoDetalhe Da OfertaEmpresa de soluções energéticas e comercialização de equipamentos nas áreas de AVAC, Eletricidade e Energias Renováveis, entre outras, procura administrativo(a) para reforçar a sua equipa da delegação de Beja.Referência Da Oferta Atendimento telefónico ou presencial da delegação; Controlo dos valores de caixa - recebimentos, pagamentos e cobranças; Arquivo de toda a documentação da actividade da delegação; Elaboração dos mapas financeiros.Perfil 12º ano, preferencialmente em área de secretariado ou similar; Experiência de trabalho na área administrativa; Responsabilidade, organização e dinamismo; Residência na região de Beja.Oferta Vencimento base + subsídio de alimentação; Integração em empresa sólida e equipa jovem.Referência da oferta:(a) na oferta e cumpra o perfil definido, envie a sua candidatura através do link:CompetênciasMais Ofertas de Emprego Semelhantes:",RH PARTNERS DO BRASIL,"Béja, Béja, Tunisia",Entry level,Full-time,Other,Business Consulting and Services
2024-07-01,Online/Full Time,"About Azurreo:Azurreo is a leading global company specializing in innovative solutions for the telecommunications industry. We are committed to providing top-notch services to our clients, ensuring their needs are met with the highest level of expertise and care. Focused on excellence and innovation, Azurreo has built a reputation for reliability and efficiency in delivering solutions to its clients worldwide.Job Description:Azurreo is seeking a dedicated and meticulous Finance Assistant to join our team. This is a full-time, remote position ideal for a professional ready to contribute to our finance department. The position requires availability for 8 hours a day, 5 days a week, from Monday to Friday.TasksKey Responsibilities:Assist in daily financial operations and accounting tasks. Prepare, review, and process financial transactions. Manage and maintain accurate financial records using various ERP systems. Prepare reports, budgets, and financial statements. Conduct financial analyses and provide information to support decision-making. Handle professional and effective email communications. Ensure compliance with company policies and relevant financial regulations. Assist with international transfers and manage relationships with French banks. Collaborate with team members located in different time zones.RequirementsQualifications:Education:Minimum Bachelor's degree in Management, Finance, Mathematics, or a related field. Languages: Excellent command of French (spoken and written), intermediate English (capable of maintaining a fluid conversation). Experience:Minimum 1 year of experience in a similar role. Skills:Proficient in MS Office suite (particularly Excel). Experience with various ERP systems. Strong email communication skills. Detail-oriented with strong organizational skills. Preferred:Experience in accounting or finance. Knowledge of international transfer processes. Understanding of the French banking system. Personal Qualities:Honest, meticulous, and detail-oriented. Willing to learn and comfortable with numbers. Not afraid to ask for help if needed. Ready to work in a remote international environment.BenefitsWhy Join Azurreo:Work in a supportive and dynamic international team. Opportunities for professional growth and development. Permanent contract (CDI). Paid leave and public holidays. Fully remote position. Note: This is not a freelance position.If you are a motivated finance professional ready to take on new challenges in a global company, we would love to hear from you. Apply now to join Azurreo and contribute to our mission of excellence.",Azurreo,Tunisia,Entry level,Full-time,Finance,Telecommunications
2024-07-01,Guest Service Manager,"Description de l'entreprisePourquoi travailler chez Accor ?Nous sommes bien plus qu’un leader mondial. Nous vous accueillons comme vous êtes et vous pouvez trouver le métier et la marque qui correspond à votre personnalité.Nous vous accompagnons dans votre évolution et votre apprentissage au quotidien, nous nous assurons que votre travail apporte du sens à votre vie. Ainsi, durant votre expérience avec nous, vous pouvez explorer les possibilités illimitée du Groupe Accor.En rejoignant Accor, vous écrivez chaque chapitre de votre histoire et ensemble nous pouvons imaginer l’Hôtellerie de demain. Découvrez la vie qui vous attend chez Accor, https://careers.accor.com/.Faites ce que vous aimez, prenez soin du monde qui vous entoure, oser challenger le status quo ! #BELIMITLESS, Description du posteSuperviser et diriger tous les aspects des relations avec les clients pour atteindre la meilleure satisfaction possible. Faire preuve d'esprit d'entreprise et penser au-delà des limites est attendu et non demandé. Anticiper les demandes implicites des clients, au-delà de leurs besoins exprimés. Fournir un service sincère, chaleureux et enthousiaste, en veillant à la satisfaction des clients. Prendre le temps de connaître les clients et s'engager pour l'excellence du service. S’assure de la réalisation des objectifs au niveau de son processus. , Informations supplémentairesWe are Heartists®décrit à la fois notre culture et qui nous sommes. Tout ce que nous faisons vient du cœur, et nous sommes des experts dans ce que nous faisons. Généreux, attentifs et libres, nous veillons à ce que chacun puisse venir tel qu’il est et se sentir à sa place. En tant que grande équipe, nous savons que ce n’est qu’ensemble que nous pouvons faire des choses incroyables !",Mövenpick Hotels & Resorts,"Tunis, Tunis, Tunisia",Not Applicable,Full-time,Other,Hospitality
2024-07-01,Call for Independent Administrators' candidacy to the Smart Capital Management Board,"Description de l'entrepriseStartup Tunisia est une initiative nationale qui ambitionne de faire de la Tunisie un pays de Startups à la croisée de la méditerranée, de la région MENA et de l’Afrique.L’initiative a été confiée à Smart Capital, une société de gestion, agréée par le Conseil du Marché financier en 2019 pour gérer le projet structuré autour des trois piliers suivants :Startup Act : un cadre juridique unique et un ensemble d’incitations offert aux Startups innovantes et scalablesStartup Invest : Un nouveau cadre d’investissement dédié aux Startups bâties autour d’un fonds de fonds d’une taille cible de 100 Million d’Euros financé par la Banque Mondiale et la KfW œuvrant à booster l’écosystème des VC en Tunisie,Startup Ecosystem : Un cadre d’appui pour un écosystème de Startups performant et inclusif axé sur les thématiques de financement, d’animation et de connexions, sponsorisés par plusieurs bailleurs dont la Banque Mondiale, La GIZ, et l’Union Européenne. Smart Capital gère aussi un Fonds d’investissement direct dans les PME innovantes d’une taille cible de 125 Millions de Dinars.Cette initiative ambitieuse est le fruit d’une dynamique collaborative et participative impliquant toutes les parties prenantes de l’écosystème des Startups. Pour réaliser sa mission, Smart Capital mobilise une équipe talentueuse et engagée et s’aligne sur les meilleurs standards internationaux de fonctionnement. Smart Capital voudrait renforcer la composition de son conseil par des administrateurs indépendants venant du secteur privé et plus particulièrement du monde de l’investissement (Venture Capital et Private Equity) et des Startups., Description du posteLa mission des administrateurs indépendants est comme celle du reste des administrateurs dans le conseil d'administration. Conformément à l’article 23 des statuts de Smart Capital le conseil est investi des pouvoirs les plus étendus, dans le cadre de l'objet social de la Société, (sous réserve des seuls actes ou opérations qui sont, du fait de la loi, de la compétence exclusive de l'assemblée générale), pour représenter, gérer, administrer, engager et développer les activités de la Société.L’apport de l’administrateur indépendant est axé particulièrement surce qui suit :Sa compréhension approfondie de l’écosystème des Startups et du VC en Tunisie et ailleurs pour aider le conseil à mieux atteindre ses objectifs et ses priorités à court et moyen terme et à mettre en place les programmes appropriés pour y parvenirSa contribution et celle de son réseau national et international à aider Smart Capital à lever les capitaux nécessaires pour son fonds de fonds ANAVA et son fonds direct, INNOVATECH et les fonds/subventions nécessaires pour alimenter ses programmes d’appui à l’écosystème type Flywheel, HALO, Invest’i et autres. Son appui aux missions de soutien, de connexion et de sensibilisation nationale et auprés de la diaspora de la nouvelle économie basée sur l’innovation et la technologie. Ses efforts pour assurer la connexion et la collaboration avec les acteurs locaux et internationaux du monde del’investissement. Tout appui à la promotion de l’écosystème local des Startups, des VCs et de la PME innovante en mettant en avant ses acteurs clés, ses startups et le cadre Startup Tunisia ou à travers l’appui à l’organisation d’événements au rayonnement régional ou international, QualificationsDe nationalité tunisienne. Expérience dans le secteur du VC ou capital risque, des investissements, du droit des entreprises ou de la comptabilité. Acteur de l’écosystème des startups ou entrepreneurial en Tunisie ou à l’international (en tant qu'investisseur ou en tant qu’entrepreneur). Expérience dans la structuration de projets/programmes pour l’innovation serait un atoutPassionné(e) par le monde des startups et de l’innovationRigoureux, ayant le sens du détail. Sens éthique élevéAbsence de conflit d’intérêt avec l’activité de Smart CapitalÊtre issu du secteur privéÊtre résidant en TunisieInformations supplémentairesun mandat de 3 année renouvelable.Périodicité des conseils: minimum 4 par an.La date limite de candidature: 11 Juillet 2024.",Smart Capital,"Ḥalq al-Wādī, Tunis, Tunisia",Executive,Full-time,Other,Financial Services
2023-07-01,Job notice: Copy (M/F) - Beja,"Anúncio de emprego: Copeiro (M/F) - Beja:SERLIMADescrição Do Emprego:Copeiro (M/F) - Beja»Serlima»24-12-2024»Ref: 7364963»Beja»Hotelaria / TurismoReferência:Detalhe da Oferta:0000000891Referência Da Oferta:A Serlima Integrated Services é uma empresa especializada na prestação de serviços a todas as áreas de negócio do Grupo Serlima, enquadrada no conceito de serviços partilhados.Descrição:O/a colaborador/a ficará responsável pela limpeza de utensílios, equipamentos e instalações de acordo com os standards de exigência e condições definidas pelo cliente.Referência Da Oferta: Experiência anterior comprovada na função (fator eliminatório); Gosto pelo trabalho em equipa; Dinamismo e proatividade; Sentido de responsabilidade; Disponibilidade imediata e total.Oferta: Bom ambiente de trabalho; Remuneração compatível com a função;Responda a Esta Oferta Em:Mais Ofertas de Emprego Semelhantes:",Grupo Serlima,"Béja, Béja, Tunisia",Entry level,Full-time,Management and Manufacturing,Facilities Services
2024-07-01,Client Paper Manager (Beja),"Descrição da EmpresaA UNU DIPO é fruto da expansão de um projeto consolidado no distrito de Évora. Queremos posicionar-nos no mercado imobiliário como uma marca jovem, dinâmica e, acima de tudo, inovadora e elevar o setor imobiliário ao nível da excelência. Para isso procuramos jovens talentos com vontade em criar uma carreira para a vida, tendo como base o desenvolvimento e crescimento pessoal, e espírito empresarial.Descrição da FunçãoQueres ser autónoma(o) nos teus horários? A nossa empresa ajuda-te a ter mais tempo para ti. As nossas vagas são limitadas, a pessoas responsáveis que gostam de isenção de horários! Se tens: - Disponibilidade - Espírito de cooperação - Iniciativa - Desejo de ser autónomo - Proatividade - Determinação Esta vaga pode ser tua! A UNU Dipo é uma empresa de mediação imobiliária, que está em crescimento desde o seu primeiro dia de atividade no mercado de Évora. Em 2023 chegamos ao 3º lugar no ranking das transações. O nosso crescimento tem ajudado a nossa equipa a crescer e a atingir os seus objetivos. Os nossos profissionais estão disponíveis para te ajudar e querem pessoas determinadas junto deles. A nossa missão é honrar a mediação imobiliária. Nós oferecemos-te um acompanhamento exclusivo e diferenciador: - Formação interna gratuita (presencial e online) - Plano de desenvolvimento e crescimento pessoal - Acompanhamento contínuo e personalizado - Acesso a ferramentas digitais - Marketing personalizado - Branding pessoal - Material de apoio à atividade - Comissões de acordo com os objetivos P.S.: Envia o teu currículo se queres ser autónoma(o)!Localização Beja, Portugal",UNU DIPO,"Béja, Béja, Tunisia",Full-time,Management and Manufacturing,Real Estate,None
2024-07-01,2D Character Artist,"We are AAA Game Art Studio – art outsource studio with a focus on gamedev. Our clients are big gamedev companies such as Playtika, Wooga, Ubisoft and many more. We are a fast-growing studio and happy to announce an open vacancy – “2D Character Artist (Casual)”The RoleYou Will Be Responsible ForCreation of concepts, color concepts of characters;Execution of the final renderer of characters.Ideal ProfileWhat Specialist Are We Looking ForKnowledge of the pipelines in the art industry;Understanding the intricacies of different styles of game art mainly casual direction for mobile games;Ability to optimize the timing of stages;Good communication and organizational skills;Experience of working with task-management systems;Complete knowledge of Photoshop and graphic tablets.Be ready to work 10:00-19:00 GMT+3 Time zoneWould Be An AdvantageExperience with a wide range of graphic editing programs;Availability of artistic education.The Company OffersRemote work in a comfortable home environment;Flexible hours;Professional development;Opportunity to propose and implement their decisions/ideas;Timely payment of wages and the prospect of revision.What's on Offer?Flexible working optionsGreat work cultureWork alongside & learn from best in class talent",AAA Game Art Studio,Tunisia,Entry level,Full-time,"Design, Art/Creative, and Information Technology",Online Audio and Video Media
2023-11-01,Job offer: Clinical Analysis Technique - Beja,"Oferta de emprego: Técnico de Análises Clínicas - Beja:MANPOWER PORTUGALDescrição Do EmpregoTécnico de Análises Clínicas - Beja»Manpower Portugal»Ref: 7006246»20-12-2024»Beja»Saúde / Medicina / EnfermagemDetalhe Da OfertaA ManpowerGroup, empresa lider em Recursos Humanos Referência da oferta: Técnico de Análises Clínicas, para integrar prestigiado cliente no distrito de Beja,Referência Da Oferta Licenciatura na área de ciências Biomédicas Laboratoriais ou similar; Com ou sem experiência na função; Dinâmico e responsável; Saber gerir o tempo; Disponibilidade imediata;Oferta Contrato direto com o cliente; Bom Ambiente de trabalho; Remuneração base + Subsídio de alimentação + Seguro de saúdeHorário De Trabalho Part TimeReferência da oferta:: Concelho de BejaSe reúne os requisitos para a função, envie-nos o seu Referência da oferta: atualizado para *** Candidatura Online ***",ManpowerGroup Portugal,"Béja, Béja, Tunisia",Entry level,Part-time,Engineering and Information Technology,Human Resources Services
